"","V1","text","option_1","option_2","option_3","option_4","N","Type","Order","Keywords","V11","V12","V13","V14"
"1","q11","How does the idea of being slapped hard in the face during sex make you feel?","Horrified","Aroused","Nostalgic","Indifferent",28860,"N","","sex/intimacy",1,1,NA,NA
"2","q27","Which is a bigger deal for you?","Telling someone you really care","Oral sex","","",24749,"O","","sex/intimacy",1,1,NA,NA
"3","q41","How important is religion/God in your life?","Extremely important","Somewhat important","Not very important","Not at all important",54140,"O","","religion/superstition",1,1,NA,NA
"4","q45","Do you believe in ghosts?","Yes","No","","",21619,"O","","religion/superstition",1,1,NA,NA
"5","q70","Do you think homosexuality is a sin?","Yes","No","","",48983,"O","","religion/superstition",1,1,NA,NA
"6","q71","Is interracial marriage a bad idea?","Yes","No","","",32492,"O","","politics",1,1,NA,NA
"7","q86","Do you own a gun?","Yes","No","","",25688,"O","","descriptive",1,1,NA,NA
"8","q134","Do you think women have an obligation to keep their legs shaved?","Yes","No","","",40673,"O","","preference",1,1,NA,NA
"9","q154","In a certain light, wouldn't nuclear war be exciting?","Yes, it would.","No, it wouldn't.","","",50514,"O","","opinion",1,1,NA,NA
"10","q174","Communism, in concept:","Good","Bad","Same as capitalism","No idea / this question doesn't interest me",19406,"N","","politics",1,1,NA,NA
"11","q179","Who's smarter on average?","Men","Women","Neither, they're the same on average","",23841,"O","1, 3, 2","opinion",1,1,NA,NA
"12","q185","Are you really into Anime (Japanese Animation) movies?","Yes","No","","",23792,"O","","descriptive",1,1,NA,NA
"13","q192","Do you believe in dinosaurs?","Yes","No","","",19833,"O","","religion/superstition",1,1,NA,NA
"14","q216","Star Trek: cool or uncool?","Cool","Uncool","","",21756,"O","","opinion",1,1,NA,NA
"15","q231","Cell phones: good or evil?","Good","Evil","","",16354,"O","","opinion; technology",1,1,NA,NA
"16","q258","Did America really put a man on the moon?","Yes","No","","",17067,"O","","politics",1,1,NA,NA
"17","q442","If you don't do anything at all for an entire day, how does that make you feel?","Good","Bad","","",41784,"O","","descriptive",1,1,NA,NA
"18","q531","Would you rather play Scrabble, go out dancing, or get drunk?","Scrabble","Dancing","Booze","",29621,"N","","preference",1,1,NA,NA
"19","q1099","Are you smarter than most people?","Yes","No","","",36529,"O","","descriptive; cognitive",1,1,NA,NA
